
[00:00:00.000 --> 00:00:10.440]   I tell you what you do in that situation, when you're stuck in that situation, when you
[00:00:10.440 --> 00:00:15.620]   grow up in that situation, you have two options, you have two or three options.
[00:00:15.620 --> 00:00:23.400]   You are a good sports star, you ride the hardest folk, I mean like, you know, you come from
[00:00:23.400 --> 00:00:31.940]   a good family, a big family, you're smart and you get a root out, your parents move, you
[00:00:31.940 --> 00:00:40.820]   know, for whatever reason, you get out young, you're not out by 12 or 13, your life's over,
[00:00:40.820 --> 00:00:47.160]   you know, especially if you're weak, especially if you're a people, please allow me, you know,
[00:00:47.160 --> 00:00:53.680]   and you stay friends with them, you stay friends with them because you never know when you
[00:00:53.680 --> 00:01:02.800]   need them. If you look at the book, if you look at the book persuasion, persuasion,
[00:01:02.800 --> 00:01:12.760]   it's not persuasion, it's rules of life, probably green, that'll tell you everything, but
[00:01:12.760 --> 00:01:17.720]   I kind of instinctually knew these things, you know, that the person that you fought with
[00:01:17.720 --> 00:01:24.480]   last week becomes your friend, you know, there's an element of tribalism, there's an element
[00:01:24.480 --> 00:01:30.860]   of tribalism and there is that unwritten rule, you just got to make sure you're always
[00:01:30.860 --> 00:01:37.660]   on the right side and you never have to tell lies, you never have, you never sell, you never
[00:01:37.660 --> 00:01:43.840]   sell anyone out because you, because you, because you, if you, if you change your story,
[00:01:43.840 --> 00:01:51.040]   you're, you're, you're fucked, you know, when something goes down in your body, in your
[00:01:51.040 --> 00:01:53.720]   sight and in your room and your phone, you're, you're, you're, you're, you're, you're
[00:01:53.720 --> 00:02:00.840]   sighted with people, these aren't people that are sitting out, you know, I, I'm in these
[00:02:00.840 --> 00:02:07.120]   rooms not because I'm, I'm, I'm any by person, I'm in these rooms because of the, the care
[00:02:07.120 --> 00:02:13.420]   that my family and, and my family's friends gave to them, they were the family, they, they,
[00:02:13.420 --> 00:02:17.920]   they, they brand them up, most I'd use, they used to take them out on trips, used to
[00:02:17.920 --> 00:02:23.520]   take them canoeing, they used to take them walking the hills, they, you know, not all of them
[00:02:23.520 --> 00:02:28.320]   did it, but, but a lot of them did it and, and through that and through building up that
[00:02:28.320 --> 00:02:34.480]   network in the 70s and the late 70s and the early 80s, they, they got a lot of, a lot of
[00:02:34.480 --> 00:02:41.240]   kudos for that. And I kind of used that as leverage in my older years because I didn't
[00:02:41.240 --> 00:02:46.960]   grow up in that area, but I always had associations with that area because that area was coming
[00:02:46.960 --> 00:02:52.400]   to my area trying to sell the big boys, do you know what I mean? They were passing
[00:02:52.400 --> 00:02:57.440]   weight on and then the weight comes and then the debt has to get paid and then it's this
[00:02:57.440 --> 00:03:01.320]   and that and who, who, who, who, did you know what I mean? This is, this is all that
[00:03:01.320 --> 00:03:06.960]   crime man. Come on, don't tell me you don't know how it works. How happens is every fucking
[00:03:06.960 --> 00:03:13.320]   city in America, how happens is every fucking country? They get people addicted to things,
[00:03:13.320 --> 00:03:20.600]   you know? This is a different chapter of my book and it's a really serious chapter
[00:03:20.600 --> 00:03:29.600]   that I have to be very, very careful about because it's, it's, it's, it's too little information.
[00:03:29.600 --> 00:03:34.880]   What my friends, my close friends, my, my sensible friends would always say to me is that
[00:03:34.880 --> 00:03:42.720]   you're at home in, in, in, in, in complete chaos and you're in home in, in, in a, in a,
[00:03:42.720 --> 00:03:47.880]   in a, in a bar in, in, in, in, in a sky bar in, in, in, in, in the city of London, you
[00:03:47.880 --> 00:03:54.480]   know, drinking at $20, got, got, got, that I've earned from my own money, you know? Nobody
[00:03:54.480 --> 00:03:59.400]   paid for my fucking courses. Nobody paid for my degree. I didn't do it by, I, I, my
[00:03:59.400 --> 00:04:04.880]   mum paid for it and I worked for it. I worked in a cafe. I used to make fucking steak and
[00:04:04.880 --> 00:04:12.200]   kidney pies and I couldn't afford to pay it. I couldn't afford to pay the fees. I didn't
[00:04:12.200 --> 00:04:18.080]   get a certificate and then I, I applied to get my second years for me by a company called
[00:04:18.080 --> 00:04:23.500]   Bureau of Apples and then 2009 came around and they, and they, and they, they dropped
[00:04:23.500 --> 00:04:31.000]   to London. So I was good, it, I was, I was half way, I was one foot in one foot out. The
[00:04:31.000 --> 00:04:38.280]   last time I had to go and beg these kind of people. You're all my friends and I've never,
[00:04:38.280 --> 00:04:43.200]   I'll never disregard them as my friends. I grew them and, and, and, and, and, and I trust
[00:04:43.200 --> 00:04:49.160]   them to a certain extent. I trust them in my life. I sit in my car. They could pull
[00:04:49.160 --> 00:04:55.520]   a gun out. They could stick it to my, I don't know, I'm going to pull the sugar, you know?
[00:04:55.520 --> 00:05:08.840]   I've been threatened but it's not common. It's about power. It's a game, it's a game. It's
[00:05:08.840 --> 00:05:13.400]   a game and then I'll learn in these games from video games. They're not learning, they're
[00:05:13.400 --> 00:05:20.280]   learning this game from CNN. They're learning these games from fucking Donald Trump and fucking
[00:05:20.280 --> 00:05:26.480]   and, and the White House. They're learning these games from fucking, you know, disclose documents
[00:05:26.480 --> 00:05:35.080]   from CIA and how you can, these are stupid people. They know there's something to miss,
[00:05:35.080 --> 00:05:40.560]   you know? Kurt is one, the most successful drugs mother in the world. I think until recently
[00:05:40.560 --> 00:05:46.760]   I think I was 18 year old kid took his place. He had inside information. He knew I only watched
